DATE	TEMP	LOCATION	HOUR_OF_DAY	RANDOM_NOISE
1672531200000000000	14.932062301	New York	0	44.312750431
1672534800000000000	20.4577045	New York	1	75.031595793
1672538400000000000	17.423581682	New York	2	79.436118527
1672542000000000000	27.418999852	New York	3	94.369092005
1672545600000000000	24.462913255	New York	4	76.357506511
1672549200000000000	22.895965244	New York	5	45.469497509
1672552800000000000	25.040859514	New York	6	47.005486088
1672556400000000000	25.178934968	New York	7	95.037659302
1672560000000000000	25.99543946	New York	8	85.811541995
1672563600000000000	22.127049815	New York	9	43.219496679
1672567200000000000	18.780207599	New York	10	55.325416271
1672570800000000000	18.64947276	New York	11	95.161451514
1672574400000000000	15.322007896	New York	12	34.618886143
1672578000000000000	11.101782821	New York	13	22.733426056
1672581600000000000	9.020439954	New York	14	76.505818663
1672585200000000000	11.18163313	New York	15	13.293439603
1672588800000000000	4.191508348	New York	16	45.046569561
1672592400000000000	7.857444049	New York	17	39.287046142
1672596000000000000	6.265867135	New York	18	86.726493556
1672599600000000000	9.00848723	New York	19	7.456012655
1672603200000000000	6.435918316	New York	20	29.449866578
1672606800000000000	8.006554775	New York	21	32.972944399
1672610400000000000	7.265495682	New York	22	87.768264008
1672614000000000000	11.231026302	New York	23	81.302833526
1672617600000000000	13.711714259	New York	0	93.527565394
1672621200000000000	16.720306087	New York	1	9.754925968
1672624800000000000	22.550620313	New York	2	19.990216309
1672628400000000000	23.602637251	New York	3	38.480003881
1672632000000000000	23.270269655	New York	4	31.960779518
1672635600000000000	25.724930436	New York	5	60.334978681
1672639200000000000	26.417272376	New York	6	48.765013196
1672642800000000000	20.876478207	New York	7	16.905838844
1672646400000000000	21.251416624	New York	8	72.128487346
1672650000000000000	23.071004996	New York	9	27.266765221
1672653600000000000	17.813886999	New York	10	93.367593113
1672657200000000000	16.127834618	New York	11	92.254921101
1672660800000000000	14.148278994	New York	12	89.970247025
1672664400000000000	9.610807492	New York	13	30.91927308
1672668000000000000	11.563905852	New York	14	13.215748318
1672671600000000000	5.943063388	New York	15	81.55428997
1672675200000000000	8.449265958	New York	16	91.873841953
1672678800000000000	5.100242689	New York	17	44.909529358
1672682400000000000	4.565421449	New York	18	48.356764001
1672686000000000000	3.198332791	New York	19	21.032861256
1672689600000000000	8.358424539	New York	20	5.555248188
1672693200000000000	7.303916305	New York	21	58.291724715
1672696800000000000	8.59759999	New York	22	98.106422837
1672700400000000000	12.321158942	New York	23	92.798487294
1672704000000000000	14.927835155	New York	0	19.191687245
1672707600000000000	15.127214695	New York	1	5.987190096
1672711200000000000	20.628731557	New York	2	54.474348983
1672714800000000000	24.770672039	New York	3	38.622007064
1672718400000000000	22.060399653	New York	4	28.236265899
1672722000000000000	25.253151849	New York	5	52.652374156
1672725600000000000	26.855478084	New York	6	83.47818119
1672729200000000000	25.804173524	New York	7	25.116049293
1672732800000000000	22.024747522	New York	8	59.992443938
1672736400000000000	23.289418991	New York	9	60.331977502
1672740000000000000	20.088488813	New York	10	46.966589758
1672743600000000000	17.320815275	New York	11	46.805627083
1672747200000000000	16.082170783	New York	12	15.134740868
1672750800000000000	11.565023014	New York	13	69.952810548
1672754400000000000	10.990859452	New York	14	47.727652904
1672758000000000000	8.255755476	New York	15	38.215219783
1672761600000000000	6.689574475	New York	16	17.031420538
1672765200000000000	7.299556762	New York	17	63.341447482
1672768800000000000	3.93553303	New York	18	75.730514059
1672772400000000000	4.926381575	New York	19	98.000303237
1672776000000000000	7.125016328	New York	20	52.471057556
1672779600000000000	8.741237387	New York	21	39.153776105
1672783200000000000	9.952270245	New York	22	61.992785072
1672786800000000000	12.190229863	New York	23	57.452075342
1672531200000000000	16.108837078	Los Angeles	0	40.63863935
1672534800000000000	19.851929592	Los Angeles	1	62.544669539
1672538400000000000	18.879050286	Los Angeles	2	34.177299262
1672542000000000000	27.238722041	Los Angeles	3	80.151043801
1672545600000000000	25.078767186	Los Angeles	4	9.475525115
1672549200000000000	21.795930101	Los Angeles	5	45.883036011
1672552800000000000	27.65956077	Los Angeles	6	92.171466424
1672556400000000000	25.670339712	Los Angeles	7	51.306822278
1672560000000000000	20.197494238	Los Angeles	8	93.959487695
1672563600000000000	21.973368215	Los Angeles	9	65.578324582
1672567200000000000	21.33497825	Los Angeles	10	28.984281298
1672570800000000000	17.865572398	Los Angeles	11	22.781383838
1672574400000000000	17.065447816	Los Angeles	12	21.337999608
1672578000000000000	8.760657157	Los Angeles	13	50.015682256
1672581600000000000	9.649487188	Los Angeles	14	21.246815396
1672585200000000000	8.758763327	Los Angeles	15	55.067682083
1672588800000000000	6.221049987	Los Angeles	16	87.212954684
1672592400000000000	5.518267752	Los Angeles	17	21.198219225
1672596000000000000	6.604696081	Los Angeles	18	22.396581817
1672599600000000000	5.888261993	Los Angeles	19	36.360779345
1672603200000000000	6.097543909	Los Angeles	20	64.237410422
1672606800000000000	10.593299025	Los Angeles	21	81.477930305
1672610400000000000	13.406679734	Los Angeles	22	39.808169699
1672614000000000000	14.198425599	Los Angeles	23	60.918347515
1672617600000000000	14.902571238	Los Angeles	0	38.891315078
1672621200000000000	19.004247659	Los Angeles	1	33.981888591
1672624800000000000	18.877659096	Los Angeles	2	69.559803139
1672628400000000000	21.98993326	Los Angeles	3	65.365286126
